date,sales
2023-01-01,100.60943415950887
2023-01-02,98.14216534907735
2023-01-03,101.94511850784036
2023-01-04,102.54732610501497
2023-01-05,96.98595389071554
2023-01-06,98.50528897364983
2023-01-07,101.58669778080892
2023-01-08,100.91959526430635
2023-01-09,101.73918540612408
2023-01-10,100.28700035149565
2023-01-11,103.97172739154043
2023-01-12,103.98785096929034
2023-01-13,102.78310639380862
2023-01-14,105.12369754397773
2023-01-15,104.0217463445636
2023-01-16,101.58494802539539
2023-01-17,104.25708314350605
2023-01-18,101.81705912714808
2023-01-19,105.70611284917744
2023-01-20,104.06284479495115
2023-01-21,104.0055042688506
2023-01-22,103.22490213295583
2023-01-23,107.24232810625477
2023-01-24,104.69757509829847
2023-01-25,104.35822424773352
2023-01-26,104.7176689251467
2023-01-27,106.692374296611
2023-01-28,106.56318154613226
2023-01-29,106.8609679322205
2023-01-30,107.09898040717366
2023-01-31,110.7210507033407
2023-02-01,105.82387940575181
2023-02-02,105.80967061551242
2023-02-03,105.40250625888724
2023-02-04,108.45631197682718
2023-02-05,109.67496214835296
2023-02-06,107.38010781922826
2023-02-07,106.11695391568257
2023-02-08,106.3358062697688
2023-02-09,109.47165306005807
2023-02-10,109.84083135130865
2023-02-11,109.6226041469602
2023-02-12,107.3853267678454
2023-02-13,109.3587588344629
2023-02-14,109.30389929051813
2023-02-15,109.68196046397449
2023-02-16,111.15942377871413
2023-02-17,110.03363148050849
2023-02-18,111.11199735578364
2023-02-19,110.05487901594334
2023-02-20,110.66129688216559
2023-02-21,111.50672472051644
2023-02-22,107.48864687099642
2023-02-23,109.92011413485318
2023-02-24,109.77286557316118
2023-02-25,109.58763489358694
2023-02-26,110.46448103057078
2023-02-27,114.15158888612687
2023-02-28,109.57452182495831
2023-03-01,113.38472762445825
2023-03-02,108.22190003952642
2023-03-03,111.05479348732442
2023-03-04,112.18442318165243
2023-03-05,113.1631197621522
2023-03-06,113.5422666241812
2023-03-07,113.83300316692228
2023-03-08,111.67268798352949
2023-03-09,111.56657629652419
2023-03-10,114.32566463968065
2023-03-11,112.34280818602875
2023-03-12,110.28699964155341
2023-03-13,110.68198615141199
2023-03-14,111.2170593022682
2023-03-15,114.15488665105907
2023-03-16,113.54719973806019
2023-03-17,114.74226854685854
2023-03-18,112.60289408387548
2023-03-19,113.8677186006685
2023-03-20,114.89218533965888
2023-03-21,113.1097903356161
2023-03-22,114.72661517783091
2023-03-23,112.57088628538762
2023-03-24,113.24738673080971
2023-03-25,113.28584916287689
2023-03-26,111.73054280300124
2023-03-27,115.16612403051069
2023-03-28,113.32038528106634
2023-03-29,114.34823796853692
2023-03-30,115.34584752936746
2023-03-31,115.33556246445673
2023-04-01,115.82845523774448
2023-04-02,114.35293642834306
2023-04-03,113.75256996245906
2023-04-04,114.48602638506078
2023-04-05,111.31412828793428
2023-04-06,111.83494666380776
2023-04-07,112.1211897928329
2023-04-08,112.806559455804
2023-04-09,115.63211694612102
2023-04-10,113.05018252921442
2023-04-11,114.13045079424462
2023-04-12,117.50793809521043
2023-04-13,114.21673757767697
2023-04-14,116.42116805338908
2023-04-15,113.09287014630394
2023-04-16,114.56030685055535
2023-04-17,113.07933372041947
2023-04-18,114.30663933384037
2023-04-19,116.66779444478777
2023-04-20,111.53216911991977
2023-04-21,115.85246308721342
2023-04-22,115.45308263856876
2023-04-23,113.78051355156072
2023-04-24,112.06512360160289
2023-04-25,115.08716623735867
2023-04-26,113.86685084246633
2023-04-27,115.37139872365157
2023-04-28,114.92726231429371
2023-04-29,118.06195068999094
2023-04-30,114.35186197134888
2023-05-01,112.75312705449163
2023-05-02,115.12561445700585
2023-05-03,115.17141464844264
2023-05-04,117.41159684797914
2023-05-05,116.32271306535979
2023-05-06,115.3229969124854
2023-05-07,117.49014776967822
2023-05-08,112.13785440581346
2023-05-09,113.18529639770996
2023-05-10,112.55867675501511
2023-05-11,113.57687894447561
2023-05-12,111.54546811855779
2023-05-13,115.50918802153423
2023-05-14,113.73222288112254
2023-05-15,111.17060751948064
2023-05-16,112.01441737844979
2023-05-17,114.60379683166
2023-05-18,115.58208923686053
2023-05-19,117.82627405225335
2023-05-20,119.58545902678482
2023-05-21,114.50945750868733
2023-05-22,111.62248733202712
2023-05-23,109.25645457090302
2023-05-24,113.97305107064601
2023-05-25,111.72696380901262
2023-05-26,112.43552611188986
2023-05-27,111.95365892480511
2023-05-28,112.80614090621047
2023-05-29,115.12785308567706
2023-05-30,113.2165015202972
2023-05-31,112.49003080754196
2023-06-01,110.63931640450691
2023-06-02,109.26305224504904
2023-06-03,111.54011125294024
2023-06-04,112.304029975102
2023-06-05,115.84492676224436
2023-06-06,112.46573688645071
2023-06-07,114.06548242174165
2023-06-08,110.99496839107792
2023-06-09,109.51601523373063
2023-06-10,109.8468461275749
2023-06-11,110.21668517822617
2023-06-12,115.81306259157766
2023-06-13,109.80131146379654
2023-06-14,113.00804881683096
2023-06-15,109.41127383656085
2023-06-16,112.96545277774065
2023-06-17,111.7565568594918
2023-06-18,110.55694600949317
2023-06-19,110.67153165003526
2023-06-20,109.32563376353917
2023-06-21,111.40887330089993
2023-06-22,109.48769889657406
2023-06-23,107.82685860185067
2023-06-24,107.6021168205595
2023-06-25,110.38265760997005
2023-06-26,113.07477258403782
2023-06-27,110.11535072531886
2023-06-28,109.43658814011488
2023-06-29,110.12378505286301
2023-06-30,112.04222581345896
2023-07-01,109.74694940499903
2023-07-02,108.36421550721941
2023-07-03,111.2765074512329
2023-07-04,109.7993284746519
2023-07-05,111.89128965394669
2023-07-06,109.06433610078588
2023-07-07,106.12719714422435
2023-07-08,105.71831410333668
2023-07-09,111.63526579324555
2023-07-10,111.65984966704079
2023-07-11,107.73296960423605
2023-07-12,107.20555522834287
2023-07-13,110.7752227272288
2023-07-14,105.51917973797725
2023-07-15,105.82533680769039
2023-07-16,108.78359688707197
2023-07-17,106.59056794947148
2023-07-18,107.25310133927978
2023-07-19,106.82080745095881
2023-07-20,107.70802090486296
2023-07-21,109.73389331326916
2023-07-22,106.9870849915582
2023-07-23,107.98175445984639
2023-07-24,102.48251849064029
2023-07-25,106.37548354410012
2023-07-26,104.67763669284959
2023-07-27,103.81881429099653
2023-07-28,104.39369186644696
2023-07-29,105.37656527509343
2023-07-30,107.77273814962744
2023-07-31,103.18561948778223
2023-08-01,105.79853591410192
2023-08-02,104.66924299887509
2023-08-03,104.88402990111756
2023-08-04,107.44821516898988
2023-08-05,106.42382648860134
2023-08-06,107.92890359078372
2023-08-07,104.85326596245696
2023-08-08,103.68026225373386
2023-08-09,104.53604173398978
